session_id,experiment_container_id,targeted_structure,cre_line,imaging_depth,session_type,model,n_neurons,n_trials,n_classes,chance_level,mean_cv_accuracy,fold_accuracies,interpretation
504853580,511510723,VISal,Rorb-IRES2-Cre,275,three_session_A,logistic_regression,126,598,8,0.125,0.5300700280112045,"0.5250,0.5750,0.5083,0.5294,0.5126",clearly above chance
504853580,511510723,VISal,Rorb-IRES2-Cre,275,three_session_A,svm,126,598,8,0.125,0.47145658263305323,"0.4917,0.5083,0.4833,0.4034,0.4706",clearly above chance
504853580,511510723,VISal,Rorb-IRES2-Cre,275,three_session_A,random_forest,126,598,8,0.125,0.6020588235294118,"0.5750,0.5833,0.6167,0.6471,0.5882",clearly above chance
504853580,511510723,VISal,Rorb-IRES2-Cre,275,three_session_A,knn,126,598,8,0.125,0.33443977591036417,"0.2833,0.4083,0.3167,0.3361,0.3277",clearly above chance
504853580,511510723,VISal,Rorb-IRES2-Cre,275,three_session_A,lda,126,598,8,0.125,0.5333473389355742,"0.5583,0.5833,0.5167,0.4790,0.5294",clearly above chance
504853580,511510723,VISal,Rorb-IRES2-Cre,275,three_session_A,mlp,126,598,8,0.125,0.5232773109243698,"0.5583,0.5750,0.5167,0.4790,0.4874",clearly above chance
644026238,642651896,VISp,Rorb-IRES2-Cre,275,three_session_A,logistic_regression,240,598,8,0.125,0.6774929971988796,"0.6167,0.7000,0.5750,0.7227,0.7731",clearly above chance
644026238,642651896,VISp,Rorb-IRES2-Cre,275,three_session_A,svm,240,598,8,0.125,0.6055042016806722,"0.5333,0.6333,0.5583,0.5966,0.7059",clearly above chance
644026238,642651896,VISp,Rorb-IRES2-Cre,275,three_session_A,random_forest,240,598,8,0.125,0.767563025210084,"0.7667,0.7500,0.7833,0.7311,0.8067",clearly above chance
644026238,642651896,VISp,Rorb-IRES2-Cre,275,three_session_A,knn,240,598,8,0.125,0.45148459383753503,"0.5167,0.4083,0.4417,0.4286,0.4622",clearly above chance
644026238,642651896,VISp,Rorb-IRES2-Cre,275,three_session_A,lda,240,598,8,0.125,0.5769187675070028,"0.5583,0.6417,0.5333,0.5294,0.6218",clearly above chance
644026238,642651896,VISp,Rorb-IRES2-Cre,275,three_session_A,mlp,240,598,8,0.125,0.6640756302521009,"0.6167,0.7000,0.5583,0.6891,0.7563",clearly above chance
591460070,591460068,VISal,Rorb-IRES2-Cre,275,three_session_A,logistic_regression,207,598,8,0.125,0.7741876750700281,"0.7583,0.8083,0.7917,0.7899,0.7227",clearly above chance
591460070,591460068,VISal,Rorb-IRES2-Cre,275,three_session_A,svm,207,598,8,0.125,0.7107142857142857,"0.7583,0.7083,0.6583,0.7395,0.6891",clearly above chance
591460070,591460068,VISal,Rorb-IRES2-Cre,275,three_session_A,random_forest,207,598,8,0.125,0.8544397759103642,"0.8500,0.8583,0.9000,0.8403,0.8235",clearly above chance
591460070,591460068,VISal,Rorb-IRES2-Cre,275,three_session_A,knn,207,598,8,0.125,0.5569467787114846,"0.5583,0.5167,0.5417,0.6218,0.5462",clearly above chance
591460070,591460068,VISal,Rorb-IRES2-Cre,275,three_session_A,lda,207,598,8,0.125,0.7107002801120448,"0.7500,0.6750,0.7083,0.7395,0.6807",clearly above chance
591460070,591460068,VISal,Rorb-IRES2-Cre,275,three_session_A,mlp,207,598,8,0.125,0.7591596638655462,"0.7333,0.8083,0.7583,0.7563,0.7395",clearly above chance
569396924,569396922,VISal,Rorb-IRES2-Cre,275,three_session_A,logistic_regression,89,598,8,0.125,0.6656162464985994,"0.6917,0.6083,0.6583,0.7143,0.6555",clearly above chance
569396924,569396922,VISal,Rorb-IRES2-Cre,275,three_session_A,svm,89,598,8,0.125,0.6823949579831933,"0.6833,0.6500,0.6417,0.7563,0.6807",clearly above chance
569396924,569396922,VISal,Rorb-IRES2-Cre,275,three_session_A,random_forest,89,598,8,0.125,0.7926190476190476,"0.7917,0.8000,0.8000,0.7899,0.7815",clearly above chance
569396924,569396922,VISal,Rorb-IRES2-Cre,275,three_session_A,knn,89,598,8,0.125,0.44992997198879553,"0.4583,0.3833,0.4500,0.4874,0.4706",clearly above chance
569396924,569396922,VISal,Rorb-IRES2-Cre,275,three_session_A,lda,89,598,8,0.125,0.6487955182072829,"0.6667,0.6417,0.6583,0.6471,0.6303",clearly above chance
569396924,569396922,VISal,Rorb-IRES2-Cre,275,three_session_A,mlp,89,598,8,0.125,0.685686274509804,"0.6750,0.6333,0.7083,0.7143,0.6975",clearly above chance
531348161,530739574,VISp,Rorb-IRES2-Cre,275,three_session_A,logistic_regression,171,598,8,0.125,0.8511064425770309,"0.8417,0.8583,0.8917,0.8655,0.7983",clearly above chance
531348161,530739574,VISp,Rorb-IRES2-Cre,275,three_session_A,svm,171,598,8,0.125,0.8344257703081233,"0.8083,0.8417,0.8667,0.8571,0.7983",clearly above chance
531348161,530739574,VISp,Rorb-IRES2-Cre,275,three_session_A,random_forest,171,598,8,0.125,0.951498599439776,"0.9250,0.9583,0.9750,0.9580,0.9412",clearly above chance
531348161,530739574,VISp,Rorb-IRES2-Cre,275,three_session_A,knn,171,598,8,0.125,0.7190196078431372,"0.7500,0.7083,0.7250,0.7479,0.6639",clearly above chance
531348161,530739574,VISp,Rorb-IRES2-Cre,275,three_session_A,lda,171,598,8,0.125,0.8226610644257702,"0.8000,0.8417,0.8750,0.8235,0.7731",clearly above chance
531348161,530739574,VISp,Rorb-IRES2-Cre,275,three_session_A,mlp,171,598,8,0.125,0.8811904761904762,"0.8833,0.9000,0.9083,0.9076,0.8067",clearly above chance
512270518,512124562,VISp,Rorb-IRES2-Cre,275,three_session_A,logistic_regression,90,598,8,0.125,0.6388235294117647,"0.6500,0.5833,0.6667,0.6387,0.6555",clearly above chance
512270518,512124562,VISp,Rorb-IRES2-Cre,275,three_session_A,svm,90,598,8,0.125,0.6371708683473389,"0.6500,0.6083,0.6250,0.6555,0.6471",clearly above chance
512270518,512124562,VISp,Rorb-IRES2-Cre,275,three_session_A,random_forest,90,598,8,0.125,0.780952380952381,"0.8167,0.7250,0.7917,0.8319,0.7395",clearly above chance
512270518,512124562,VISp,Rorb-IRES2-Cre,275,three_session_A,knn,90,598,8,0.125,0.42471988795518206,"0.4833,0.4000,0.4083,0.4874,0.3445",clearly above chance
512270518,512124562,VISp,Rorb-IRES2-Cre,275,three_session_A,lda,90,598,8,0.125,0.6052941176470588,"0.5833,0.6000,0.6667,0.6218,0.5546",clearly above chance
512270518,512124562,VISp,Rorb-IRES2-Cre,275,three_session_A,mlp,90,598,8,0.125,0.6505042016806722,"0.6667,0.5833,0.7000,0.6975,0.6050",clearly above chance
587344053,586351979,VISp,Rorb-IRES2-Cre,275,three_session_A,logistic_regression,237,598,8,0.125,0.906372549019608,"0.8750,0.8750,0.9583,0.9328,0.8908",clearly above chance
587344053,586351979,VISp,Rorb-IRES2-Cre,275,three_session_A,svm,237,598,8,0.125,0.8846498599439776,"0.8500,0.8417,0.9417,0.9160,0.8739",clearly above chance
587344053,586351979,VISp,Rorb-IRES2-Cre,275,three_session_A,random_forest,237,598,8,0.125,0.9046778711484595,"0.8917,0.9000,0.9250,0.9328,0.8739",clearly above chance
587344053,586351979,VISp,Rorb-IRES2-Cre,275,three_session_A,knn,237,598,8,0.125,0.6923389355742298,"0.7167,0.6583,0.6833,0.6723,0.7311",clearly above chance
587344053,586351979,VISp,Rorb-IRES2-Cre,275,three_session_A,lda,237,598,8,0.125,0.8311064425770308,"0.8333,0.8417,0.8167,0.8403,0.8235",clearly above chance
587344053,586351979,VISp,Rorb-IRES2-Cre,275,three_session_A,mlp,237,598,8,0.125,0.9030532212885156,"0.8667,0.8750,0.9417,0.9412,0.8908",clearly above chance
569896493,569611977,VISpm,Rorb-IRES2-Cre,275,three_session_A,logistic_regression,43,598,8,0.125,0.4231372549019608,"0.3917,0.3833,0.4583,0.4370,0.4454",clearly above chance
569896493,569611977,VISpm,Rorb-IRES2-Cre,275,three_session_A,svm,43,598,8,0.125,0.43656862745098035,"0.4250,0.4000,0.4167,0.4538,0.4874",clearly above chance
569896493,569611977,VISpm,Rorb-IRES2-Cre,275,three_session_A,random_forest,43,598,8,0.125,0.486624649859944,"0.4667,0.5167,0.4750,0.4874,0.4874",clearly above chance
569896493,569611977,VISpm,Rorb-IRES2-Cre,275,three_session_A,knn,43,598,8,0.125,0.297703081232493,"0.3083,0.2250,0.3333,0.3277,0.2941",clearly above chance
569896493,569611977,VISpm,Rorb-IRES2-Cre,275,three_session_A,lda,43,598,8,0.125,0.38471988795518214,"0.3833,0.3333,0.3750,0.4202,0.4118",clearly above chance
569896493,569611977,VISpm,Rorb-IRES2-Cre,275,three_session_A,mlp,43,598,8,0.125,0.40471988795518204,"0.4250,0.3917,0.3750,0.4202,0.4118",clearly above chance
506540916,511511001,VISpm,Rorb-IRES2-Cre,275,three_session_A,logistic_regression,60,598,8,0.125,0.22567226890756306,"0.2167,0.2333,0.2750,0.2353,0.1681",above chance
506540916,511511001,VISpm,Rorb-IRES2-Cre,275,three_session_A,svm,60,598,8,0.125,0.21396358543417365,"0.2083,0.2250,0.2583,0.2269,0.1513",above chance
506540916,511511001,VISpm,Rorb-IRES2-Cre,275,three_session_A,random_forest,60,598,8,0.125,0.23410364145658263,"0.2083,0.2417,0.2583,0.2185,0.2437",above chance
506540916,511511001,VISpm,Rorb-IRES2-Cre,275,three_session_A,knn,60,598,8,0.125,0.16211484593837533,"0.1667,0.2250,0.1500,0.1345,0.1345",above chance
506540916,511511001,VISpm,Rorb-IRES2-Cre,275,three_session_A,lda,60,598,8,0.125,0.2189775910364146,"0.2250,0.2250,0.2583,0.2101,0.1765",above chance
506540916,511511001,VISpm,Rorb-IRES2-Cre,275,three_session_A,mlp,60,598,8,0.125,0.202296918767507,"0.2083,0.2500,0.1750,0.1765,0.2017",above chance
510214538,511510675,VISp,Rorb-IRES2-Cre,275,three_session_A,logistic_regression,284,598,8,0.125,0.7608683473389355,"0.7667,0.8167,0.7000,0.7143,0.8067",clearly above chance
510214538,511510675,VISp,Rorb-IRES2-Cre,275,three_session_A,svm,284,598,8,0.125,0.7373949579831933,"0.7500,0.8083,0.6917,0.6975,0.7395",clearly above chance
510214538,511510675,VISp,Rorb-IRES2-Cre,275,three_session_A,random_forest,284,598,8,0.125,0.8478291316526612,"0.8083,0.9000,0.8333,0.7983,0.8992",clearly above chance
510214538,511510675,VISp,Rorb-IRES2-Cre,275,three_session_A,knn,284,598,8,0.125,0.5752380952380951,"0.5750,0.6583,0.5000,0.5714,0.5714",clearly above chance
510214538,511510675,VISp,Rorb-IRES2-Cre,275,three_session_A,lda,284,598,8,0.125,0.677296918767507,"0.6667,0.6917,0.6500,0.6555,0.7227",clearly above chance
510214538,511510675,VISp,Rorb-IRES2-Cre,275,three_session_A,mlp,284,598,8,0.125,0.7507422969187676,"0.7417,0.8583,0.7083,0.6975,0.7479",clearly above chance
686441799,686441797,VISpm,Rorb-IRES2-Cre,275,three_session_A,logistic_regression,100,598,8,0.125,0.37789915966386556,"0.3667,0.3583,0.4250,0.4034,0.3361",clearly above chance
686441799,686441797,VISpm,Rorb-IRES2-Cre,275,three_session_A,svm,100,598,8,0.125,0.34948179271708685,"0.3250,0.3583,0.3750,0.4034,0.2857",clearly above chance
686441799,686441797,VISpm,Rorb-IRES2-Cre,275,three_session_A,random_forest,100,598,8,0.125,0.36978991596638655,"0.3083,0.3500,0.3167,0.4454,0.4286",clearly above chance
686441799,686441797,VISpm,Rorb-IRES2-Cre,275,three_session_A,knn,100,598,8,0.125,0.23084033613445376,"0.2000,0.2250,0.2250,0.2353,0.2689",above chance
686441799,686441797,VISpm,Rorb-IRES2-Cre,275,three_session_A,lda,100,598,8,0.125,0.38287114845938375,"0.3667,0.4083,0.4167,0.4034,0.3193",clearly above chance
686441799,686441797,VISpm,Rorb-IRES2-Cre,275,three_session_A,mlp,100,598,8,0.125,0.3679131652661064,"0.3417,0.3583,0.3917,0.3950,0.3529",clearly above chance
527048992,526481129,VISp,Rorb-IRES2-Cre,275,three_session_A,logistic_regression,211,598,8,0.125,0.8495378151260503,"0.8833,0.8250,0.8167,0.8571,0.8655",clearly above chance
527048992,526481129,VISp,Rorb-IRES2-Cre,275,three_session_A,svm,211,598,8,0.125,0.866232492997199,"0.8917,0.8583,0.8417,0.8824,0.8571",clearly above chance
527048992,526481129,VISp,Rorb-IRES2-Cre,275,three_session_A,random_forest,211,598,8,0.125,0.9499159663865546,"0.9417,0.9500,0.9083,0.9748,0.9748",clearly above chance
527048992,526481129,VISp,Rorb-IRES2-Cre,275,three_session_A,knn,211,598,8,0.125,0.6721288515406163,"0.7167,0.7083,0.6583,0.6975,0.5798",clearly above chance
527048992,526481129,VISp,Rorb-IRES2-Cre,275,three_session_A,lda,211,598,8,0.125,0.8043557422969186,"0.8500,0.8000,0.7583,0.8067,0.8067",clearly above chance
527048992,526481129,VISp,Rorb-IRES2-Cre,275,three_session_A,mlp,211,598,8,0.125,0.8562044817927171,"0.8917,0.8500,0.8167,0.8655,0.8571",clearly above chance
509580400,511510748,VISpm,Rorb-IRES2-Cre,275,three_session_A,logistic_regression,17,598,8,0.125,0.20058823529411765,"0.2083,0.2417,0.2000,0.2017,0.1513",above chance
509580400,511510748,VISpm,Rorb-IRES2-Cre,275,three_session_A,svm,17,598,8,0.125,0.2123809523809524,"0.2000,0.2083,0.2250,0.2437,0.1849",above chance
509580400,511510748,VISpm,Rorb-IRES2-Cre,275,three_session_A,random_forest,17,598,8,0.125,0.1705042016806723,"0.1500,0.1667,0.2333,0.1345,0.1681",above chance
509580400,511510748,VISpm,Rorb-IRES2-Cre,275,three_session_A,knn,17,598,8,0.125,0.14047619047619048,"0.1583,0.1083,0.1500,0.1008,0.1849",above chance
509580400,511510748,VISpm,Rorb-IRES2-Cre,275,three_session_A,lda,17,598,8,0.125,0.20061624649859944,"0.1917,0.2333,0.2083,0.1849,0.1849",above chance
509580400,511510748,VISpm,Rorb-IRES2-Cre,275,three_session_A,mlp,17,598,8,0.125,0.1388095238095238,"0.1667,0.1333,0.1083,0.0924,0.1933",above chance
590168385,590168381,VISp,Rorb-IRES2-Cre,275,three_session_A,logistic_regression,157,598,8,0.125,0.8662745098039217,"0.8750,0.8000,0.8917,0.8739,0.8908",clearly above chance
590168385,590168381,VISp,Rorb-IRES2-Cre,275,three_session_A,svm,157,598,8,0.125,0.8461344537815126,"0.8750,0.7917,0.8833,0.7983,0.8824",clearly above chance
590168385,590168381,VISp,Rorb-IRES2-Cre,275,three_session_A,random_forest,157,598,8,0.125,0.9197619047619048,"0.9083,0.8917,0.9417,0.9412,0.9160",clearly above chance
590168385,590168381,VISp,Rorb-IRES2-Cre,275,three_session_A,knn,157,598,8,0.125,0.6221008403361344,"0.6583,0.5333,0.6583,0.6218,0.6387",clearly above chance
590168385,590168381,VISp,Rorb-IRES2-Cre,275,three_session_A,lda,157,598,8,0.125,0.8144117647058824,"0.8167,0.7750,0.8333,0.8319,0.8151",clearly above chance
590168385,590168381,VISp,Rorb-IRES2-Cre,275,three_session_A,mlp,157,598,8,0.125,0.8578991596638655,"0.8583,0.7833,0.9083,0.8739,0.8655",clearly above chance
509904120,511510794,VISal,Rorb-IRES2-Cre,275,three_session_A,logistic_regression,51,598,8,0.125,0.3462324929971989,"0.3500,0.2917,0.3500,0.3950,0.3445",clearly above chance
509904120,511510794,VISal,Rorb-IRES2-Cre,275,three_session_A,svm,51,598,8,0.125,0.3545378151260504,"0.3500,0.3417,0.3583,0.3866,0.3361",clearly above chance
509904120,511510794,VISal,Rorb-IRES2-Cre,275,three_session_A,random_forest,51,598,8,0.125,0.36292717086834736,"0.3333,0.3833,0.3417,0.4118,0.3445",clearly above chance
509904120,511510794,VISal,Rorb-IRES2-Cre,275,three_session_A,knn,51,598,8,0.125,0.212296918767507,"0.1667,0.2833,0.2333,0.2353,0.1429",above chance
509904120,511510794,VISal,Rorb-IRES2-Cre,275,three_session_A,lda,51,598,8,0.125,0.3226190476190476,"0.3333,0.3167,0.3917,0.3277,0.2437",clearly above chance
509904120,511510794,VISal,Rorb-IRES2-Cre,275,three_session_A,mlp,51,598,8,0.125,0.33275910364145656,"0.3083,0.3583,0.3417,0.3277,0.3277",clearly above chance
501729039,511510989,VISp,Rorb-IRES2-Cre,275,three_session_A,logistic_regression,227,598,8,0.125,0.894719887955182,"0.8500,0.8833,0.9083,0.8824,0.9496",clearly above chance
501729039,511510989,VISp,Rorb-IRES2-Cre,275,three_session_A,svm,227,598,8,0.125,0.8611764705882354,"0.8417,0.8750,0.8833,0.8235,0.8824",clearly above chance
501729039,511510989,VISp,Rorb-IRES2-Cre,275,three_session_A,random_forest,227,598,8,0.125,0.9331232492997199,"0.9417,0.9333,0.9167,0.9496,0.9244",clearly above chance
501729039,511510989,VISp,Rorb-IRES2-Cre,275,three_session_A,knn,227,598,8,0.125,0.6319467787114846,"0.6583,0.6833,0.6500,0.5882,0.5798",clearly above chance
501729039,511510989,VISp,Rorb-IRES2-Cre,275,three_session_A,lda,227,598,8,0.125,0.787563025210084,"0.7833,0.8333,0.7833,0.7731,0.7647",clearly above chance
501729039,511510989,VISp,Rorb-IRES2-Cre,275,three_session_A,mlp,227,598,8,0.125,0.8930112044817926,"0.8667,0.8833,0.9083,0.8992,0.9076",clearly above chance
587339481,586452279,VISpm,Rorb-IRES2-Cre,275,three_session_A,logistic_regression,79,599,8,0.125,0.5809103641456582,"0.5750,0.6417,0.6167,0.5250,0.5462",clearly above chance
587339481,586452279,VISpm,Rorb-IRES2-Cre,275,three_session_A,svm,79,599,8,0.125,0.5792296918767507,"0.6083,0.5750,0.6000,0.5750,0.5378",clearly above chance
587339481,586452279,VISpm,Rorb-IRES2-Cre,275,three_session_A,random_forest,79,599,8,0.125,0.6661904761904761,"0.6250,0.6667,0.6583,0.6667,0.7143",clearly above chance
587339481,586452279,VISpm,Rorb-IRES2-Cre,275,three_session_A,knn,79,599,8,0.125,0.39060224089635853,"0.4083,0.3583,0.4417,0.3833,0.3613",clearly above chance
587339481,586452279,VISpm,Rorb-IRES2-Cre,275,three_session_A,lda,79,599,8,0.125,0.5425350140056022,"0.5167,0.5750,0.5167,0.5833,0.5210",clearly above chance
587339481,586452279,VISpm,Rorb-IRES2-Cre,275,three_session_A,mlp,79,599,8,0.125,0.5808683473389356,"0.5583,0.6250,0.6667,0.5333,0.5210",clearly above chance
505695962,511510860,VISal,Rorb-IRES2-Cre,275,three_session_A,logistic_regression,234,598,8,0.125,0.6320448179271707,"0.6250,0.6667,0.6417,0.6639,0.5630",clearly above chance
505695962,511510860,VISal,Rorb-IRES2-Cre,275,three_session_A,svm,234,598,8,0.125,0.5752661064425771,"0.5333,0.5750,0.6083,0.5966,0.5630",clearly above chance
505695962,511510860,VISal,Rorb-IRES2-Cre,275,three_session_A,random_forest,234,598,8,0.125,0.7893557422969188,"0.7750,0.7833,0.7750,0.8487,0.7647",clearly above chance
505695962,511510860,VISal,Rorb-IRES2-Cre,275,three_session_A,knn,234,598,8,0.125,0.4382212885154062,"0.4833,0.3833,0.3917,0.4706,0.4622",clearly above chance
505695962,511510860,VISal,Rorb-IRES2-Cre,275,three_session_A,lda,234,598,8,0.125,0.5734873949579832,"0.5500,0.6083,0.6167,0.5798,0.5126",clearly above chance
505695962,511510860,VISal,Rorb-IRES2-Cre,275,three_session_A,mlp,234,598,8,0.125,0.6337394957983193,"0.6250,0.6250,0.6750,0.6891,0.5546",clearly above chance
605800963,603519606,VISpm,Rorb-IRES2-Cre,275,three_session_A,logistic_regression,42,598,8,0.125,0.25245098039215685,"0.2833,0.2583,0.2500,0.2185,0.2521",clearly above chance
605800963,603519606,VISpm,Rorb-IRES2-Cre,275,three_session_A,svm,42,598,8,0.125,0.24917366946778713,"0.2417,0.2417,0.2583,0.2605,0.2437",above chance
605800963,603519606,VISpm,Rorb-IRES2-Cre,275,three_session_A,random_forest,42,598,8,0.125,0.2724789915966387,"0.2750,0.2750,0.3250,0.2101,0.2773",clearly above chance
605800963,603519606,VISpm,Rorb-IRES2-Cre,275,three_session_A,knn,42,598,8,0.125,0.16714285714285712,"0.2333,0.1500,0.1667,0.1261,0.1597",above chance
605800963,603519606,VISpm,Rorb-IRES2-Cre,275,three_session_A,lda,42,598,8,0.125,0.24572829131652663,"0.2750,0.2333,0.2833,0.2185,0.2185",above chance
605800963,603519606,VISpm,Rorb-IRES2-Cre,275,three_session_A,mlp,42,598,8,0.125,0.2508403361344538,"0.2333,0.2417,0.2750,0.2689,0.2353",clearly above chance
551888519,551888517,VISpm,Rorb-IRES2-Cre,275,three_session_A,logistic_regression,170,598,8,0.125,0.4147198879551821,"0.3917,0.3750,0.4750,0.4370,0.3950",clearly above chance
551888519,551888517,VISpm,Rorb-IRES2-Cre,275,three_session_A,svm,170,598,8,0.125,0.37126050420168066,"0.4000,0.3333,0.3667,0.3782,0.3782",clearly above chance
551888519,551888517,VISpm,Rorb-IRES2-Cre,275,three_session_A,random_forest,170,598,8,0.125,0.4632633053221289,"0.4750,0.3667,0.5167,0.4622,0.4958",clearly above chance
551888519,551888517,VISpm,Rorb-IRES2-Cre,275,three_session_A,knn,170,598,8,0.125,0.26586834733893555,"0.2750,0.2000,0.3333,0.2689,0.2521",clearly above chance
551888519,551888517,VISpm,Rorb-IRES2-Cre,275,three_session_A,lda,170,598,8,0.125,0.3864285714285714,"0.3750,0.3667,0.3333,0.4454,0.4118",clearly above chance
551888519,551888517,VISpm,Rorb-IRES2-Cre,275,three_session_A,mlp,170,598,8,0.125,0.4398459383753502,"0.4500,0.4000,0.4417,0.4202,0.4874",clearly above chance
510390912,511500480,VISal,Rorb-IRES2-Cre,275,three_session_A,logistic_regression,87,598,8,0.125,0.5352801120448178,"0.5250,0.4583,0.5250,0.5966,0.5714",clearly above chance
510390912,511500480,VISal,Rorb-IRES2-Cre,275,three_session_A,svm,87,598,8,0.125,0.5067787114845939,"0.5250,0.4333,0.5083,0.5378,0.5294",clearly above chance
510390912,511500480,VISal,Rorb-IRES2-Cre,275,three_session_A,random_forest,87,598,8,0.125,0.5802521008403361,"0.6750,0.5083,0.5667,0.5714,0.5798",clearly above chance
510390912,511500480,VISal,Rorb-IRES2-Cre,275,three_session_A,knn,87,598,8,0.125,0.327703081232493,"0.3167,0.3750,0.3250,0.2773,0.3445",clearly above chance
510390912,511500480,VISal,Rorb-IRES2-Cre,275,three_session_A,lda,87,598,8,0.125,0.526890756302521,"0.5083,0.4917,0.5000,0.5462,0.5882",clearly above chance
510390912,511500480,VISal,Rorb-IRES2-Cre,275,three_session_A,mlp,87,598,8,0.125,0.5252240896358543,"0.5417,0.4333,0.5167,0.5462,0.5882",clearly above chance
